exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation,live
b2.1,10000,100,live_10000_100_9,0.007,0.07,0,False,False,True
b2.1,10000,1000,live_10000_1000_0,0.062,0.08,0,False,False,True
b2.1,10000,1000,live_10000_1000_1,0.077,0.163,0,False,False,True
b2.1,10000,1000,live_10000_1000_2,0.062,0.083,0,False,False,True
b2.1,10000,1000,live_10000_1000_3,0.062,0.091,0,False,False,True
b2.1,10000,1000,live_10000_1000_4,0.067,0.11,0,False,False,True
b2.1,10000,1000,live_10000_1000_5,0.11,0.107,0,False,False,True
b2.1,10000,1000,live_10000_1000_6,0.067,0.087,0,False,False,True
b2.1,10000,1000,live_10000_1000_7,0.063,0.09,0,False,False,True
b2.1,10000,1000,live_10000_1000_8,0.063,0.083,0,False,False,True
b2.1,10000,1000,live_10000_1000_9,0.062,0.083,0,False,False,True
b2.1,10000,5000,live_10000_5000_0,0.305,0.106,0,False,False,True
b2.1,10000,5000,live_10000_5000_1,0.324,0.116,0,False,False,True
b2.1,10000,5000,live_10000_5000_2,0.323,0.141,0,False,False,True
b2.1,10000,5000,live_10000_5000_3,0.304,0.113,0,False,False,True
b2.1,10000,5000,live_10000_5000_4,0.307,0.098,0,False,False,True
b2.1,10000,5000,live_10000_5000_5,0.305,0.105,0,False,False,True
b2.1,10000,5000,live_10000_5000_6,0.361,0.176,0,False,False,True
b2.1,10000,5000,live_10000_5000_7,0.345,0.104,0,False,False,True
b2.1,10000,5000,live_10000_5000_8,0.305,0.113,0,False,False,True
b2.1,10000,5000,live_10000_5000_9,0.358,0.24,0,False,False,True
b2.1,100000,1,live_100000_1_0,0.002,1.793,0,False,False,True
b2.1,100000,1,live_100000_1_1,0.001,0.92,0,False,False,True
b2.1,100000,1,live_100000_1_2,0.002,1.594,0,False,False,True
b2.1,100000,1,live_100000_1_3,0.001,1.016,0,False,False,True
b2.1,100000,1,live_100000_1_4,0.001,0.814,0,False,False,True
b2.1,100000,1,live_100000_1_5,0.001,0.859,0,False,False,True
b2.1,100000,1,live_100000_1_6,0.001,1.839,0,False,False,True
b2.1,100000,1,live_100000_1_7,0.001,0.94,0,False,False,True
b2.1,100000,1,live_100000_1_8,0.001,0.876,0,False,False,True
b2.1,100000,1,live_100000_1_9,0.001,0.897,0,False,False,True
b2.1,100000,10,live_100000_10_0,0.003,1.07,0,False,False,True
b2.1,100000,10,live_100000_10_1,0.004,1.438,0,False,False,True
b2.1,100000,10,live_100000_10_2,0.004,0.947,0,False,False,True
b2.1,100000,10,live_100000_10_3,0.004,1.847,0,False,False,True
b2.1,100000,10,live_100000_10_4,0.004,0.832,0,False,False,True
b2.1,100000,10,live_100000_10_5,0.003,0.798,0,False,False,True
b2.1,100000,10,live_100000_10_6,0.003,1.616,0,False,False,True
b2.1,100000,10,live_100000_10_7,0.003,1.74,0,False,False,True
b2.1,100000,10,live_100000_10_8,0.003,1.712,0,False,False,True
b2.1,100000,10,live_100000_10_9,0.003,2.082,0,False,False,True
b2.1,100000,100,live_100000_100_0,0.009,0.993,0,False,False,True
b2.1,100000,100,live_100000_100_1,0.011,1.878,0,False,False,True
b2.1,100000,100,live_100000_100_2,0.009,0.852,0,False,False,True
b2.1,100000,100,live_100000_100_3,0.008,0.803,0,False,False,True
b2.1,100000,100,live_100000_100_4,0.008,0.851,0,False,False,True
b2.1,100000,100,live_100000_100_5,0.011,0.952,0,False,False,True
b2.1,100000,100,live_100000_100_6,0.009,1.049,0,False,False,True
b2.1,100000,100,live_100000_100_7,0.011,2.737,0,False,False,True
b2.1,100000,100,live_100000_100_8,0.01,0.969,0,False,False,True
b2.1,100000,100,live_100000_100_9,0.012,2.056,0,False,False,True
b2.1,100000,1000,live_100000_1000_0,0.076,1.896,0,False,False,True
b2.1,100000,1000,live_100000_1000_1,0.075,1.4,0,False,False,True
b2.1,100000,1000,live_100000_1000_2,0.063,1.35,0,False,False,True
b2.1,100000,1000,live_100000_1000_3,0.058,1.639,0,False,False,True
b2.1,100000,1000,live_100000_1000_4,0.063,1.116,0,False,False,True
b2.1,100000,1000,live_100000_1000_5,0.076,1.372,0,False,False,True
b2.1,100000,1000,live_100000_1000_6,0.067,0.908,0,False,False,True
b2.1,100000,1000,live_100000_1000_7,0.066,0.916,0,False,False,True
b2.1,100000,1000,live_100000_1000_8,0.064,0.871,0,False,False,True
b2.1,100000,1000,live_100000_1000_9,0.057,1.804,0,False,False,True
b2.1,100000,5000,live_100000_5000_0,0.296,0.869,0,False,False,True
b2.1,100000,5000,live_100000_5000_1,0.343,0.981,0,False,False,True
b2.1,100000,5000,live_100000_5000_2,0.327,0.946,0,False,False,True
b2.1,100000,5000,live_100000_5000_3,0.284,1.009,0,False,False,True
b2.1,100000,5000,live_100000_5000_4,0.331,1.098,0,False,False,True
b2.1,100000,5000,live_100000_5000_5,0.315,0.849,0,False,False,True
b2.1,100000,5000,live_100000_5000_6,0.319,1.249,0,False,False,True
b2.1,100000,5000,live_100000_5000_7,0.33,0.969,0,False,False,True
b2.1,100000,5000,live_100000_5000_8,0.345,0.957,0,False,False,True
b2.1,100000,5000,live_100000_5000_9,0.298,1.007,0,False,False,True
